category,map,problem_id,w,reexpansion,opened,closed,expanded,reopened,path_length,dist,expected_dist,correct,time
maze,maze512-16-6.map,886451,100.0,True,96402,67334,508000,58782,502,571.4163056034274,514.16147156,False,0.2838963218000572
bgmaps,AR0013SR.map,348042,5.0,False,133,53,318,0,39,44.21320343559643,42.79898987,False,0.00019775279997702455
bgmaps,AR0529SR.map,327697,1.05,True,145,55,384,0,26,29.970562748477146,29.97056274,True,0.00015117300008569146
bgmaps,AR0505SR.map,353848,5.0,False,1074,433,3141,0,98,123.50966799187798,122.92388153,False,0.0015730963999885717
sc1,Elderlands.map,537867,2.0,True,4101,1438,10654,107,708,897.9524522540011,887.18289947,False,0.014132877800147981
maze,maze512-1-3.map,1045672,1.05,True,725,721,1445,0,248,247.0,247.0,True,0.0046155480000379615
street,London_2_256.map,178997,1.05,True,74,23,184,0,24,23.0,23.0,True,0.001229694999892672
street,NewYork_0_512.map,83366,10.0,False,1705,437,3064,0,385,512.4062043356619,474.13917694,False,0.008616920599888545
bgmaps,AR0013SR.map,348042,10.0,True,140,56,335,4,39,44.21320343559643,42.79898987,False,0.0002139668000381789
maze,maze512-16-6.map,886451,1.5,False,37151,17855,136104,0,458,526.5878784786813,514.16147156,False,0.067874450599993
maze,maze512-1-3.map,1045672,1.0,True,729,725,1453,0,248,247.0,247.0,True,0.005410026000026847
random,random512-10-0.map,792765,1.5,True,1682,497,3165,0,447,547.8965363437835,534.18080749,False,0.006089172199972381
random,random512-15-0.map,771308,100.0,False,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.004840420999971684
street,London_2_256.map,178997,3.0,False,74,23,184,0,24,23.0,23.0,True,0.0005767661999925622
street,Boston_0_256.map,81872,1.0,False,24141,13216,96379,0,215,259.14927829866775,259.14927826,True,0.045136146000004373
random,random512-10-0.map,792765,10.0,True,1647,483,3122,0,464,569.4528855298876,534.18080749,False,0.005519676199946843
random,random512-10-0.map,792765,2.0,True,1632,473,3042,4,446,554.7665940288724,534.18080749,False,0.005326154999966093
bgmaps,AR0529SR.map,327697,3.0,True,135,44,285,3,27,33.041630560342625,29.97056274,False,0.0005980273999739438
sc1,IceFloes.map,525488,1.5,False,72699,36679,279721,0,526,626.8965363437834,600.79603119,False,0.13113902780005446
sc1,Elderlands.map,537867,100.0,True,1414669,1350281,10576344,1326158,803,970.1707063234804,887.18289947,False,3.416836981799861
random,random512-10-0.map,792765,1.05,False,3196,1365,9117,0,432,538.2813126546338,534.18080749,False,0.016398880800079497
maze,maze512-16-6.map,886451,1.0,False,51485,25071,191140,0,458,514.161471607488,514.16147156,True,0.10659117400009563
random,random512-10-0.map,792765,1.05,True,3191,1339,8998,84,431,537.6955262170069,534.18080749,False,0.00803273879992048
random,random512-10-3.map,746092,1.2,True,1540,497,3122,5,378,462.32799384885936,448.02647857,False,0.008995943999980226
maze,maze512-1-3.map,1045672,3.0,False,466,462,927,0,248,247.0,247.0,True,0.004440230599902862
bgmaps,AR0013SR.map,348042,1.2,False,221,92,585,0,38,42.798989873223334,42.79898987,True,0.0003206135999789694
maze,maze512-8-6.map,1192401,100.0,True,771316,706226,5115740,665637,1344,1579.1017305526698,1543.60425567,False,2.600235094599884
sc1,IceFloes.map,525488,1.1,False,71910,37778,287913,0,497,603.2813126546338,600.79603119,False,0.1462305840001136
maze,maze512-1-3.map,1045672,10.0,False,313,297,609,0,248,247.0,247.0,True,0.004114587599906372
street,London_2_256.map,178997,100.0,True,74,23,184,0,24,23.0,23.0,True,0.00035558820000005655
street,London_2_256.map,178997,5.0,False,74,23,184,0,24,23.0,23.0,True,0.00013423779982986163
maze,maze512-8-6.map,1192401,100.0,False,67801,40589,293629,0,1481,1714.0306627408047,1543.60425567,False,0.14524566340005549
maze,maze512-8-6.map,1192401,1.05,True,80145,49644,359989,1447,1323,1543.604255869611,1543.60425567,True,0.18524259540008642
random,random512-10-3.map,746092,10.0,True,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.00567888559999119
random,random512-15-0.map,771308,1.2,True,551,221,1303,1,162,178.39696961967002,175.32590179,False,0.004884485799993854
maze,maze512-8-6.map,1192401,1.5,False,78040,46986,340454,0,1323,1572.5992052357285,1543.60425567,False,0.1851231677999749
street,NewYork_0_512.map,83366,5.0,True,1747,459,3202,16,383,510.40620433566187,474.13917694,False,0.002620358600142936
street,London_2_256.map,178997,1.2,False,74,23,184,0,24,23.0,23.0,True,0.0001341656001386582
sc1,Elderlands.map,537867,10.0,False,3952,1174,8660,0,737,924.0529573173894,887.18289947,False,0.012979603399980989
street,London_2_256.map,178997,3.0,True,74,23,184,0,24,23.0,23.0,True,0.00016223920010816073
street,London_2_256.map,178997,2.0,False,74,23,184,0,24,23.0,23.0,True,0.00016827239996928257
bgmaps,AR0529SR.map,327697,1.05,False,145,55,384,0,26,29.970562748477146,29.97056274,True,0.0002208836000136216
maze,maze512-1-3.map,1045672,2.0,False,502,498,999,0,248,247.0,247.0,True,0.0014575451999917278
random,random512-10-3.map,746092,2.0,True,1372,389,2569,0,377,465.055915910217,448.02647857,False,0.002337772999999288
street,NewYork_0_512.map,83366,2.0,True,1821,486,3422,5,380,507.820417898035,474.13917694,False,0.002814089999992575
maze,maze512-16-6.map,886451,3.0,False,25663,11575,87875,0,484,560.8721497261433,514.16147156,False,0.0473090752000644
sc1,Elderlands.map,537867,1.5,True,4366,1578,11788,116,708,895.4671708797624,887.18289947,False,0.018227283400119632
bgmaps,AR0505SR.map,353848,1.5,False,2211,867,6530,0,97,122.92388155425107,122.92388153,True,0.006255210800009081
bgmaps,AR0013SR.map,348042,1.0,False,282,128,816,0,38,42.798989873223334,42.79898987,True,0.000568480800029647
bgmaps,AR0529SR.map,327697,5.0,False,128,42,272,0,29,35.04163056034262,29.97056274,False,0.00017976780000026338
random,random512-15-0.map,771308,1.05,True,980,470,2830,0,161,176.98275605729688,175.32590179,False,0.002457760600009351
street,London_2_256.map,178997,1.0,True,74,23,184,0,24,23.0,23.0,True,0.0003746352000234765
sc1,IceFloes.map,525488,2.0,True,287345,165316,1262066,140150,526,626.8965363437834,600.79603119,False,0.699753444199996
sc1,IceFloes.map,525488,1.05,False,71196,37762,287774,0,497,600.7960312803951,600.79603119,True,0.15126698759995633
maze,maze512-1-3.map,1045672,100.0,False,304,283,586,0,248,247.0,247.0,True,0.0012390722000418463
sc1,Elderlands.map,537867,1.0,True,122845,59640,468383,21573,708,887.1828996323005,887.18289947,True,0.26442288839989486
street,NewYork_0_512.map,83366,1.05,False,8158,3525,27471,0,372,474.1391770309024,474.13917694,True,0.017822514600084105
sc1,EbonLakes.map,519726,1.1,True,210632,109655,855019,58183,555,677.4356415871853,677.43564148,True,0.43203267879998747
bgmaps,AR0013SR.map,348042,1.0,True,286,131,831,3,38,42.798989873223334,42.79898987,True,0.0004755676000058884
random,random512-10-0.map,792765,3.0,True,1647,481,3106,0,459,566.5239533417531,534.18080749,False,0.005744179999965127
maze,maze512-1-3.map,1045672,1.1,True,722,718,1439,0,248,247.0,247.0,True,0.005197479399976146
street,Boston_0_256.map,81872,1.5,True,152437,115154,840999,105877,215,259.14927829866775,259.14927826,True,0.402721358800045
bgmaps,AR0505SR.map,353848,1.1,False,6625,3143,23696,0,97,122.92388155425107,122.92388153,True,0.013288194599954294
maze,maze512-16-6.map,886451,1.1,False,48584,24611,187660,0,458,516.6467529817268,514.16147156,False,0.10739309920008963
bgmaps,AR0529SR.map,327697,10.0,False,126,40,256,0,29,35.04163056034262,29.97056274,False,0.00015880299997661496
street,Boston_0_256.map,81872,10.0,False,3464,1782,12515,0,248,326.5290039756354,259.14927826,False,0.0063220658001228005
street,Boston_0_256.map,81872,2.0,True,98480,76202,549433,70608,215,260.8061325481602,259.14927826,False,0.2524364094000703
maze,maze512-16-6.map,886451,1.05,False,48398,24838,189354,0,458,514.9898987322343,514.16147156,False,0.10209532499993657
sc1,Elderlands.map,537867,10.0,True,4319,1385,10007,213,722,911.9524522540012,887.18289947,False,0.013670581599944854
sc1,IceFloes.map,525488,1.1,True,103870,54217,414409,16133,497,601.6244584051414,600.79603119,False,0.20196835019996798
street,Boston_0_256.map,81872,1.05,True,30566,18756,138126,6005,215,259.14927829866775,259.14927826,True,0.0697661700000026
bgmaps,AR0505SR.map,353848,5.0,True,5507,3613,25906,3134,98,123.50966799187798,122.92388153,False,0.015162055200016766
street,London_2_256.map,178997,1.5,False,74,23,184,0,24,23.0,23.0,True,0.0001408538000760018
random,random512-10-3.map,746092,1.0,False,30276,16962,110349,0,355,448.02647865869426,448.02647857,True,0.062490328999956546
bgmaps,AR0013SR.map,348042,1.05,False,274,120,770,0,38,42.798989873223334,42.79898987,True,0.0005131747999257641
bgmaps,AR0529SR.map,327697,2.0,False,135,43,292,0,26,32.45584412271572,29.97056274,False,0.0001928297999256756
bgmaps,AR0013SR.map,348042,100.0,False,130,51,307,0,41,46.21320343559642,42.79898987,False,0.00020916600005875806
maze,maze512-16-6.map,886451,2.0,False,30848,14346,109086,0,458,534.8721497261434,514.16147156,False,0.057111108800017976
street,London_2_256.map,178997,1.1,True,74,23,184,0,24,23.0,23.0,True,0.0001361871998597053
bgmaps,AR0529SR.map,327697,100.0,True,135,49,270,7,34,40.45584412271572,29.97056274,False,0.00018166320005548188
maze,maze512-16-6.map,886451,10.0,False,19703,9389,71025,0,542,614.730014102412,514.16147156,False,0.047354713000095215
sc1,EbonLakes.map,519726,1.2,True,303105,162553,1270410,110425,555,677.4356415871853,677.43564148,True,0.7090492849998554
street,NewYork_0_512.map,83366,2.0,False,1816,481,3404,0,380,507.820417898035,474.13917694,False,0.007182379000005313
random,random512-15-0.map,771308,10.0,False,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.005210102000091865
bgmaps,AR0505SR.map,353848,100.0,True,12326,10212,71124,9209,155,199.14927829866767,122.92388153,False,0.0336010126000474
maze,maze512-8-6.map,1192401,1.1,True,85195,52229,378716,4430,1323,1543.604255869611,1543.60425567,True,0.18214757339992502
random,random512-15-0.map,771308,1.0,False,4206,2406,14250,0,161,175.32590180780466,175.32590179,True,0.014518954200138979
sc1,EbonLakes.map,519726,2.0,False,69600,29848,232136,0,676,779.7960312803957,677.43564148,False,0.12676765380001598
maze,maze512-16-6.map,886451,1.2,True,101400,59321,454115,36511,458,514.161471607488,514.16147156,True,0.2409702572000242
street,London_2_256.map,178997,1.5,True,74,23,184,0,24,23.0,23.0,True,0.000656110400086618
bgmaps,AR0529SR.map,327697,1.0,True,321,128,942,0,26,29.970562748477146,29.97056274,True,0.0005824666000989964
street,Boston_0_256.map,81872,2.0,False,13910,6707,48510,0,215,273.2325394193534,259.14927826,False,0.024626962399997863
random,random512-15-0.map,771308,2.0,True,523,194,1123,0,168,192.68124086713198,175.32590179,False,0.004270100000030652
random,random512-10-3.map,746092,1.5,True,1389,386,2535,0,363,452.71277015970946,448.02647857,False,0.0052115267999397474
maze,maze512-1-3.map,1045672,100.0,True,304,283,586,0,248,247.0,247.0,True,0.004137875999913376
random,random512-10-3.map,746092,5.0,True,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.0024921376001657337
street,Boston_0_256.map,81872,10.0,True,18870,13673,97862,11926,246,310.4457428549498,259.14927826,False,0.05483597900001769
maze,maze512-8-6.map,1192401,1.2,True,100267,61685,447439,14035,1323,1544.4326829943573,1543.60425567,False,0.21749445639998158
random,random512-15-0.map,771308,1.05,False,980,470,2830,0,161,176.98275605729688,175.32590179,False,0.0037128075999135037
maze,maze512-1-3.map,1045672,1.05,False,725,721,1445,0,248,247.0,247.0,True,0.0016362807999030337
sc1,IceFloes.map,525488,100.0,True,42792,31883,241334,26753,529,644.3940110268419,600.79603119,False,0.11306736699989414
maze,maze512-1-3.map,1045672,1.2,False,714,710,1423,0,248,247.0,247.0,True,0.00512833499997214
sc1,EbonLakes.map,519726,1.5,False,89163,45507,353238,0,676,762.3990616607252,677.43564148,False,0.19451661119983327
random,random512-10-3.map,746092,1.05,True,6835,3486,22633,825,367,455.05591591021727,448.02647857,False,0.016578038000079686
sc1,EbonLakes.map,519726,1.0,False,119041,58442,453026,0,555,677.4356415871853,677.43564148,True,0.26823350639988347
bgmaps,AR0505SR.map,353848,1.2,False,5594,2516,19007,0,97,122.92388155425107,122.92388153,True,0.009594764800021948
maze,maze512-16-6.map,886451,1.2,False,47224,23131,176548,0,458,519.9604614807116,514.16147156,False,0.09176691600005142
maze,maze512-1-3.map,1045672,10.0,True,313,297,609,0,248,247.0,247.0,True,0.0011330181998346234
random,random512-15-0.map,771308,10.0,True,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.004636273199866992
maze,maze512-8-6.map,1192401,3.0,False,73471,41655,301643,0,1377,1618.3149339882666,1543.60425567,False,0.1540472138000041
sc1,IceFloes.map,525488,1.2,False,73321,37995,289599,0,497,607.4234482783648,600.79603119,False,0.1538027766000596
sc1,IceFloes.map,525488,2.0,False,56188,24312,184577,0,526,626.8965363437834,600.79603119,False,0.09468744099995093
maze,maze512-16-6.map,886451,3.0,True,83525,49323,374401,38170,466,531.2741699796965,514.16147156,False,0.20266536720009753
bgmaps,AR0013SR.map,348042,1.1,True,255,109,695,3,38,42.798989873223334,42.79898987,True,0.0003922096000678721
sc1,Elderlands.map,537867,1.05,False,13047,5668,43932,0,712,890.3544725075543,887.18289947,False,0.03033880519997183
street,London_2_256.map,178997,10.0,False,74,23,184,0,24,23.0,23.0,True,0.00013565040007961214
street,NewYork_0_512.map,83366,100.0,True,1711,440,3071,8,384,511.820417898035,474.13917694,False,0.0070115790000272685
maze,maze512-16-6.map,886451,1.5,True,108008,73019,558036,55595,458,514.161471607488,514.16147156,True,0.2947908986001494
bgmaps,AR0529SR.map,327697,3.0,False,130,41,267,0,27,33.041630560342625,29.97056274,False,0.0001515476000349736
maze,maze512-8-6.map,1192401,10.0,False,68049,40729,294707,0,1481,1714.0306627408047,1543.60425567,False,0.16269400059991312
sc1,Elderlands.map,537867,1.05,True,17977,7573,58650,1905,712,890.3544725075543,887.18289947,False,0.04300146339992352
bgmaps,AR0013SR.map,348042,100.0,True,137,55,327,4,40,44.79898987322333,42.79898987,False,0.00021607259986922145
maze,maze512-8-6.map,1192401,1.1,False,77246,48000,347794,0,1323,1552.7169542418194,1543.60425567,False,0.16109396219999325
street,NewYork_0_512.map,83366,1.1,True,10926,4624,35478,2728,372,474.9676041556486,474.13917694,False,0.019028976800109378
random,random512-10-0.map,792765,1.1,True,1885,594,3946,0,436,540.6244584051415,534.18080749,False,0.0075824120000106635
sc1,IceFloes.map,525488,1.5,True,206987,113973,871153,77063,497,609.9087296526035,600.79603119,False,0.4912603987999319
bgmaps,AR0013SR.map,348042,1.1,False,251,106,682,0,38,42.798989873223334,42.79898987,True,0.0004027510000014445
sc1,EbonLakes.map,519726,100.0,True,211204,141268,1091101,128741,711,849.1757569573631,677.43564148,False,0.5819976882001356
street,NewYork_0_512.map,83366,3.0,True,1772,467,3271,17,381,509.2346314604081,474.13917694,False,0.0026256377999743564
random,random512-15-0.map,771308,5.0,True,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.0012529194000308053
sc1,Elderlands.map,537867,1.2,False,4671,1780,13350,0,712,893.668181006539,887.18289947,False,0.015509016599935421
sc1,EbonLakes.map,519726,3.0,False,49189,20655,160290,0,711,830.1219330882003,677.43564148,False,0.0843429886001104
street,London_2_256.map,178997,1.0,False,74,23,184,0,24,23.0,23.0,True,0.00014240459986467613
maze,maze512-1-3.map,1045672,1.5,False,556,552,1107,0,248,247.0,247.0,True,0.006652440200014098
street,Boston_0_256.map,81872,1.05,False,23264,12817,93568,0,215,259.97770542341414,259.14927826,False,0.04755128480010171
random,random512-10-0.map,792765,100.0,True,1631,488,3099,0,472,574.9676041556489,534.18080749,False,0.0062485370001013505
bgmaps,AR0013SR.map,348042,3.0,True,136,55,328,2,39,44.21320343559643,42.79898987,False,0.00021628499998769258
random,random512-10-3.map,746092,1.05,False,5318,2667,17249,0,368,455.64170234784416,448.02647857,False,0.014617996599918115
random,random512-15-0.map,771308,3.0,False,516,188,1100,0,168,192.68124086713198,175.32590179,False,0.00441673980003543
sc1,Elderlands.map,537867,3.0,False,4011,1226,9107,0,713,903.3666658163742,887.18289947,False,0.013557244000003266
bgmaps,AR0013SR.map,348042,1.5,True,154,66,390,2,38,42.798989873223334,42.79898987,True,0.00025464580012339865
bgmaps,AR0529SR.map,327697,1.1,True,127,46,312,0,26,29.970562748477146,29.97056274,True,0.00019184000011591708
sc1,Elderlands.map,537867,1.0,False,97190,38067,297489,0,708,887.1828996323006,887.18289947,True,0.1936162334000983
random,random512-15-0.map,771308,1.1,True,681,301,1777,5,163,178.1543289325507,175.32590179,False,0.004885081800057378
maze,maze512-16-6.map,886451,5.0,False,22559,10398,78899,0,533,607.8010819142775,514.16147156,False,0.03960878659981972
sc1,EbonLakes.map,519726,1.05,True,152536,77611,603462,23862,555,677.4356415871853,677.43564148,True,0.355661806200078
sc1,IceFloes.map,525488,5.0,True,39497,23836,180159,16727,528,633.0386719675145,600.79603119,False,0.09828060319996439
bgmaps,AR0505SR.map,353848,2.0,False,1427,529,3875,0,97,122.92388155425107,122.92388153,True,0.0020560348000799424
sc1,Elderlands.map,537867,100.0,False,47590,24120,187267,0,820,987.5849198858535,887.18289947,False,0.11512590719994478
street,NewYork_0_512.map,83366,5.0,False,1716,444,3117,0,385,512.4062043356619,474.13917694,False,0.0024955918001069223
